"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
-0.03,0.34,0.7,0.33,0.19,NA,0.01,5,404,0.06,1
-0.32,0.14,0.53,0.13,0.22,NA,0.01,6,274,0.23,1.01
0.61,0.67,0.74,0.67,0.03,NA,0,4,623,0.06,1
0.34,0.46,0.59,0.46,0.07,NA,0,4.7,443,0.09,1
0.61,0.72,0.8,0.71,0.05,NA,0,3.9,652,0.08,1.01
0.86,0.96,1.05,0.96,0.05,NA,0,3.3,918,0.04,1
-0.02,0.53,1.14,0.53,0.28,NA,0.01,2,2393,0,1
0.35,0.63,1.11,0.67,0.22,NA,0,2.1,2284,-0.02,1
0.19,0.22,0.26,0.22,0.02,NA,0,4,630,0.04,1.01
