"covariate","nspline","min","median","max","City"
"geographic_distance",3,0.00997143195052574,0.0654062591825099,0.2443726657638,"ahga"
"mean_19",3,0.0164440639269406,0.236603762967624,0.48359576295448,"ahga"
"geographic_distance",3,0.0056120308122408,0.103693876568933,0.415343443379972,"baca"
"mean_19",3,0.00487260234755225,0.495692660297622,0.811113018597997,"baca"
"geographic_distance",3,0.0105653166802701,0.147503481014433,0.519661915322917,"boma"
"mean_19",3,0.0181434720229555,0.395918075050129,0.713652248639358,"boma"
"geographic_distance",3,0.0109041152901139,0.272885844852446,0.715780416479141,"chil"
"mean_19",3,0.0341573676680973,0.460575436587461,0.855012882908674,"chil"
"geographic_distance",3,0.00824848433565502,0.144137923642261,0.473736786045979,"deco"
"mean_19",3,0.0804274239816409,0.440973096737264,0.752729621125143,"deco"
"geographic_distance",3,0.0104806317515138,0.155349329430026,0.574722162741244,"hote"
"mean_19",3,0.109269340974212,0.458267468499427,0.734321305841924,"hote"
"geographic_distance",3,0.00947724588713372,0.126234983628911,0.337909116863929,"inin"
"mean_19",3,0.0182430495844081,0.327094188376754,0.735445686443107,"inin"
"geographic_distance",3,0.0100576333132036,0.0891334319118881,0.271891608429537,"ioio"
"mean_19",3,0.0130148741418764,0.136425300515169,0.545538681948424,"ioio"
"geographic_distance",3,0.0085532768388463,0.143227911495548,0.39590683731972,"jams"
"mean_19",3,0.0365682339449541,0.271871599947649,0.71542037302726,"jams"
"geographic_distance",3,0.00821050472690465,0.103984315572607,0.371255403444869,"lrar"
"mean_19",3,0.00349170005724098,0.121565815887582,0.728260619977038,"lrar"
"geographic_distance",3,0.00859153653312674,0.0796471581413964,0.227833849987227,"mawi"
"mean_19",3,0.13516175207558,0.387473459812999,0.614033228301346,"mawi"
"geographic_distance",3,0.00763331241525316,0.395719291073928,0.860210886842743,"mela"
"mean_19",3,0.000899942495687177,0.231252507881915,0.892790497996565,"mela"
"geographic_distance",3,0.012447708274559,0.135096377517374,0.351132295928747,"naca"
"mean_19",3,0.0463628546861565,0.305193243630117,0.859756167527252,"naca"
"geographic_distance",3,0.00374646743316047,0.312628030907495,1.22444857631672,"phaz"
"mean_19",3,0,0.25274433935225,0.736209654384462,"phaz"
"geographic_distance",3,0.0124715686639409,0.159563217591339,0.484656116551694,"poor"
"mean_19",3,0.134354053279863,0.413595408895265,0.582060675443618,"poor"
"geographic_distance",3,0.0107391975138715,0.0992607614142439,0.22459080763066,"rony"
"mean_19",3,0.0350600686498856,0.224968499427262,0.742004013761468,"rony"
"geographic_distance",3,0.00706045324324285,0.12128853576958,0.335990550462368,"safl"
"mean_19",3,0,0.203177454095459,0.522716862296021,"safl"
"geographic_distance",3,0.00812384761058292,0.159550120651788,0.429415676006365,"scut"
"mean_19",3,0,0.0028195596225336,0.617200915855753,"scut"
"geographic_distance",3,0.0130126899601865,0.207392666926669,0.526061032580817,"sewa"
"mean_19",3,0.020898392652124,0.442327116212339,0.78036420992257,"sewa"
"geographic_distance",3,0.00954863006742329,0.146486647494778,0.4358195554102,"slmo"
"mean_19",3,0.000257658173489837,0.362663417431193,0.874981380693211,"slmo"
"geographic_distance",3,0.00995917763082796,0.101109880520626,0.490458953028577,"tawa"
"mean_19",3,0.00359437751004016,0.48743119266055,0.776051120045951,"tawa"
"geographic_distance",3,0.00842557775724872,0.101055807389178,0.255083441790081,"uril"
"mean_19",3,0.00856325128792215,0.045156115726153,0.509187715269805,"uril"
"geographic_distance",3,0.00926023967318624,0.108362200751078,0.278886468819651,"wide"
"mean_19",3,0.00447210300429185,0.234691888793351,0.595197821100917,"wide"
